class,precision,recall,f1_score,support
angry,1.0,1.0,1.0,80
disgust,1.0,1.0,1.0,80
fear,1.0,1.0,1.0,80
happy,1.0,1.0,1.0,80
neutral,1.0,1.0,1.0,80
sad,1.0,1.0,1.0,80
surprise,1.0,1.0,1.0,80
macro_avg,1.0,1.0,1.0,560
weighted_avg,1.0,1.0,1.0,560
