class,precision,recall,f1_score,support
angry,1.0,0.9615,0.9804,26
disgust,1.0,1.0,1.0,9
fear,1.0,0.9286,0.963,14
happy,0.875,1.0,0.9333,14
neutral,1.0,1.0,1.0,32
sad,1.0,1.0,1.0,12
macro_avg,0.9792,0.9817,0.9794,107
weighted_avg,0.9836,0.9813,0.9817,107
