class,precision,recall,f1_score,support
angry,0.8824,0.9375,0.9091,16
disgust,0.7222,0.7647,0.7429,17
fear,0.7647,0.7647,0.7647,17
happy,0.8889,0.4706,0.6154,17
neutral,0.8889,0.9412,0.9143,17
sad,0.8824,0.8824,0.8824,17
surprise,0.6364,0.8235,0.7179,17
macro_avg,0.8094,0.7978,0.7924,118
weighted_avg,0.8088,0.7966,0.7914,118
