class,precision,recall,f1_score,support
angry,0.9474,0.9474,0.9474,38
disgust,0.9459,0.9211,0.9333,38
fear,0.9231,0.9474,0.9351,38
happy,1.0,0.8718,0.9315,39
neutral,0.8788,1.0,0.9355,58
sad,0.8649,0.8205,0.8421,39
surprise,0.973,0.9474,0.96,38
macro_avg,0.9333,0.9222,0.9264,288
weighted_avg,0.9295,0.9271,0.9268,288
