class,precision,recall,f1_score,support
angry,1.0,1.0,1.0,12
disgust,0.7857,0.9167,0.8462,12
fear,0.9091,0.8333,0.8696,12
happy,0.9231,1.0,0.96,12
neutral,0.96,1.0,0.9796,24
sad,1.0,0.75,0.8571,12
surprise,1.0,1.0,1.0,12
macro_avg,0.9397,0.9286,0.9304,96
weighted_avg,0.9422,0.9375,0.9365,96
