class,precision,recall,f1_score,support
angry,0.7966,0.9094,0.8493,254
disgust,0.7989,0.5787,0.6712,254
fear,0.7943,0.6535,0.7171,254
happy,0.7162,0.851,0.7778,255
neutral,0.8584,0.8899,0.8739,218
sad,0.6751,0.7362,0.7043,254
macro_avg,0.7732,0.7698,0.7656,1489
weighted_avg,0.7711,0.767,0.763,1489
